locus_index,beta_hat,beta_true,p_adj
0,0.2756048685054039,0.3401474194889439,5.519816339296955e-12
1,0.11839059886805141,0.1224772007461264,0.0002720353525860532
2,0.13298311764611534,0.1428248006354242,3.424861479815447e-05
3,0.11795293076007542,0.1683082497971609,0.0014854308237990566
4,0.3863134252464297,0.4287486541076496,4.490957435417978e-18
5,0.24923126170737453,0.1995919882451773,6.421017201357485e-17
6,-0.13826520794578867,-0.1376323200788739,5.9514372632488965e-05
7,-0.14121636067060672,-0.167644988951829,0.00015757165950566724
8,0.09793119290358678,0.1546782707710702,0.02717733625287007
9,0.1397038248101783,0.1550942737644669,1.682693576890196e-05
10,0.37267022726396476,0.3789795488372224,1.8200252294837462e-20
11,-0.19035977730637565,-0.1679952781855101,1.7932694889358877e-08
12,0.17982212742798767,0.1997763159055311,3.6497616381564815e-08
13,-0.3822157570431998,-0.4736440263337494,5.231113455235387e-08
14,-0.24769253825293627,-0.2687067803195591,1.0484754544859651e-08
15,0.15505689817175422,0.1762390970500171,1.8237612473228698e-06
16,-0.12779119596205465,-0.1350344191895232,0.00028990511575023093
17,0.09480859054339723,0.1004313841886296,0.010414694892831259
18,0.10382718204809309,0.1455756206589852,0.00801112150955741
19,0.11445220773483895,0.1009534463607881,0.00026416588429302364
20,-0.11712102081810845,-0.1390919767107858,0.0019434784404021186
21,-0.07078453475229494,-0.1357327857351484,0.8634726616304326
22,0.21198816219760805,0.1667687386473123,2.3337256026996546e-13
23,0.17788767076768944,0.1892120331470919,2.700183385753398e-08
24,-0.34015293784109135,-0.3447618286765079,5.496980593053896e-11
25,-0.16285598336078289,-0.1529824941363654,1.2665849520486156e-06
26,0.8403313760597945,0.9937427623849144,1.755327002756241e-49
27,0.39068224650624,0.457040259051003,3.546284118646943e-17
28,-0.0996251200253279,-0.1115325726734672,0.012118980319783071
29,-0.17335008691868273,-0.1484613933389664,9.752993405909526e-08
30,-0.5002768871121462,-0.5162508870558875,7.432758693355368e-11
31,0.1478573683255372,0.1297667289842505,5.042364042726576e-07
32,-0.6715916692801478,-0.6731096193815398,1.3195965008205568e-11
33,0.44494054461988725,0.4765618194861097,7.514122545466402e-22
34,0.26101614016698965,0.2660027489500692,3.280788964810668e-14
35,0.1099349140208725,0.1254308322648993,0.0014824207186016677
36,0.24958689723472413,0.3215483453335417,3.5920032172817204e-10
37,-0.28028550625788473,-0.3363562913272216,5.863816482575097e-08
38,0.31823881423352957,0.2276939923621138,6.174919934090599e-26
39,0.22843298799694475,0.1938075900181697,2.39968349769824e-14
40,-0.15762647748346773,-0.1863807092814955,3.0455947990411857e-05
41,0.4680010847294799,0.4689456643591406,4.38365314388695e-25
42,-0.13183137518354518,-0.2223532455886717,0.007004371358542539
43,0.07646361010328388,0.1038962081993115,0.18497684931172426
44,0.37275887149287573,0.3634415778998674,1.3135083857120508e-21
45,-0.28069682541235214,-0.4433303287742611,4.8520352751293815e-05
